Date,Pincode,Region,Category,Platform,Payment_Type,Promo_Code,Inventory_Status,Sessions,Orders
2026-08-01,411001,West,Fashion,iOS_v17.2,COD,FESTIVE15,In_Stock,4791,0
2026-08-02,122001,North,Mobiles,iOS_v17.2,UPI,NONE,In_Stock,669,0
2026-08-03,600001,South,Laptops,iOS_v17.2,Wallet,SAVE10,In_Stock,1048,0
2026-08-04,751001,East,Winter Wear,iOS_v17.2,Card,WELCOME20,In_Stock,1427,0
2026-08-05,411001,West,Large Appliances,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1806,0
2026-08-06,122001,North,FMCG_Groceries,iOS_v17.2,COD,NONE,In_Stock,2185,0
2026-08-07,560001,South,Home Decor,iOS_v17.2,UPI,SAVE10,In_Stock,2564,0
2026-08-08,751001,East,Fashion,iOS_v17.2,Wallet,WELCOME20,In_Stock,2943,0
2026-08-09,411001,West,Mobiles,iOS_v17.2,Card,FESTIVE15,In_Stock,3322,0
2026-08-10,122001,North,Laptops,iOS_v17.2,NetBanking,NONE,In_Stock,3701,0
2026-08-01,560103,South,Winter Wear,iOS_v17.2,COD,SAVE10,In_Stock,4080,0
2026-08-02,751001,East,Large Appliances,iOS_v17.2,UPI,WELCOME20,In_Stock,4459,0
2026-08-03,411001,West,FMCG_Groceries,iOS_v17.2,Wallet,FESTIVE15,In_Stock,4838,0
2026-08-04,122001,North,Home Decor,iOS_v17.2,Card,NONE,In_Stock,716,0
2026-08-05,500001,South,Fashion,iOS_v17.2,NetBanking,SAVE10,In_Stock,1095,0
2026-08-06,751001,East,Mobiles,iOS_v17.2,COD,WELCOME20,In_Stock,1474,0
2026-08-07,411001,West,Laptops,iOS_v17.2,UPI,FESTIVE15,In_Stock,1853,0
2026-08-08,122001,North,Winter Wear,iOS_v17.2,Wallet,NONE,In_Stock,2232,0
2026-08-09,560102,South,Large Appliances,iOS_v17.2,Card,SAVE10,In_Stock,2611,0
2026-08-10,751001,East,FMCG_Groceries,iOS_v17.2,NetBanking,WELCOME20,In_Stock,2990,0
2026-08-01,411001,West,Home Decor,iOS_v17.2,COD,FESTIVE15,In_Stock,3369,0
