Date,Pincode,Region,Category,Platform,Payment_Type,Promo_Code,Inventory_Status,Sessions,Orders
2026-08-01,560102,South,Winter Wear,Web,UPI,SAVE10,In_Stock,3565,0
2026-08-02,560103,South,Large Appliances,Android_v13,Wallet,WELCOME20,In_Stock,3944,0
2026-08-03,560102,South,FMCG_Groceries,iOS_v17.2,Card,FESTIVE15,In_Stock,4323,0
2026-08-04,560103,South,Home Decor,Android_v12,NetBanking,NONE,In_Stock,4702,0
2026-08-05,560102,South,Fashion,iOS_v16.6,COD,SAVE10,In_Stock,580,0
2026-08-06,560103,South,Mobiles,Web,UPI,WELCOME20,In_Stock,959,0
2026-08-07,560102,South,Laptops,Android_v13,Wallet,FESTIVE15,In_Stock,1338,0
2026-08-08,560103,South,Winter Wear,iOS_v17.2,Card,NONE,In_Stock,1717,0
2026-08-09,560102,South,Large Appliances,Android_v12,NetBanking,SAVE10,In_Stock,2096,0
2026-08-10,560103,South,FMCG_Groceries,iOS_v16.6,COD,WELCOME20,In_Stock,2475,0
2026-08-01,560102,South,Home Decor,Web,UPI,FESTIVE15,In_Stock,2854,0
2026-08-02,560103,South,Fashion,Android_v13,Wallet,NONE,In_Stock,3233,0
2026-08-03,560102,South,Mobiles,iOS_v17.2,Card,SAVE10,In_Stock,3612,0
2026-08-04,560103,South,Laptops,Android_v12,NetBanking,WELCOME20,In_Stock,3991,0
2026-08-05,560102,South,Winter Wear,iOS_v16.6,COD,FESTIVE15,In_Stock,4370,0
2026-08-06,560103,South,Large Appliances,Web,UPI,NONE,In_Stock,4749,0
2026-08-07,560102,South,FMCG_Groceries,Android_v13,Wallet,SAVE10,In_Stock,627,0
2026-08-08,560103,South,Home Decor,iOS_v17.2,Card,WELCOME20,In_Stock,1006,0
2026-08-09,560102,South,Fashion,Android_v12,NetBanking,FESTIVE15,In_Stock,1385,0
2026-08-10,560103,South,Mobiles,iOS_v16.6,COD,NONE,In_Stock,1764,0
2026-08-01,560102,South,Laptops,Web,UPI,SAVE10,In_Stock,2143,0
2026-08-02,560103,South,Winter Wear,Android_v13,Wallet,WELCOME20,In_Stock,2522,0
2026-08-03,560102,South,Large Appliances,iOS_v17.2,Card,FESTIVE15,In_Stock,2901,0
2026-08-04,560103,South,FMCG_Groceries,Android_v12,NetBanking,NONE,In_Stock,3280,0
