Date,Pincode,Region,Category,Platform,Payment_Type,Promo_Code,Inventory_Status,Sessions,Orders
2026-08-01,500001,South,FMCG_Groceries,iOS_v17.2,NetBanking,SAVE10,In_Stock,1000,8
2026-08-02,700001,East,FMCG_Groceries,Android_v12,COD,WELCOME20,In_Stock,1500,12
2026-08-03,400001,West,FMCG_Groceries,iOS_v16.6,UPI,FESTIVE15,In_Stock,2000,16
2026-08-04,110001,North,FMCG_Groceries,Web,Wallet,NONE,In_Stock,2500,20
2026-08-05,560102,South,FMCG_Groceries,Android_v13,Card,SAVE10,In_Stock,3000,24
2026-08-06,700001,East,FMCG_Groceries,iOS_v17.2,NetBanking,WELCOME20,In_Stock,1000,8
2026-08-07,400001,West,FMCG_Groceries,Android_v12,COD,FESTIVE15,In_Stock,1500,12
2026-08-08,110001,North,FMCG_Groceries,iOS_v16.6,UPI,NONE,In_Stock,2000,16
2026-08-09,600001,South,FMCG_Groceries,Web,Wallet,SAVE10,In_Stock,2500,20
2026-08-10,700001,East,FMCG_Groceries,Android_v13,Card,WELCOME20,In_Stock,3000,24
2026-08-01,400001,West,FMCG_Groceries,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1000,8
2026-08-02,110001,North,FMCG_Groceries,Android_v12,COD,NONE,In_Stock,1500,12
2026-08-03,560001,South,FMCG_Groceries,iOS_v16.6,UPI,SAVE10,In_Stock,2000,16
2026-08-04,700001,East,FMCG_Groceries,Web,Wallet,WELCOME20,In_Stock,2500,20
2026-08-05,400001,West,FMCG_Groceries,Android_v13,Card,FESTIVE15,In_Stock,3000,24
2026-08-06,110001,North,FMCG_Groceries,iOS_v17.2,NetBanking,NONE,In_Stock,1000,8
2026-08-07,560103,South,FMCG_Groceries,Android_v12,COD,SAVE10,In_Stock,1500,12
2026-08-08,700001,East,FMCG_Groceries,iOS_v16.6,UPI,WELCOME20,In_Stock,2000,16
2026-08-09,400001,West,FMCG_Groceries,Web,Wallet,FESTIVE15,In_Stock,2500,20
2026-08-10,110001,North,FMCG_Groceries,Android_v13,Card,NONE,In_Stock,3000,24
2026-08-01,500001,South,FMCG_Groceries,iOS_v17.2,NetBanking,SAVE10,In_Stock,1000,8
2026-08-02,700001,East,FMCG_Groceries,Android_v12,COD,WELCOME20,In_Stock,1500,12
2026-08-03,400001,West,FMCG_Groceries,iOS_v16.6,UPI,FESTIVE15,In_Stock,2000,16
2026-08-04,110001,North,FMCG_Groceries,Web,Wallet,NONE,In_Stock,2500,20
2026-08-05,560102,South,FMCG_Groceries,Android_v13,Card,SAVE10,In_Stock,3000,24
2026-08-06,700001,East,FMCG_Groceries,iOS_v17.2,NetBanking,WELCOME20,In_Stock,1000,8
2026-08-07,400001,West,FMCG_Groceries,Android_v12,COD,FESTIVE15,In_Stock,1500,12
2026-08-08,110001,North,FMCG_Groceries,iOS_v16.6,UPI,NONE,In_Stock,2000,16
2026-08-09,600001,South,FMCG_Groceries,Web,Wallet,SAVE10,In_Stock,2500,20
2026-08-10,700001,East,FMCG_Groceries,Android_v13,Card,WELCOME20,In_Stock,3000,24
2026-08-01,400001,West,FMCG_Groceries,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1000,8
2026-08-02,110001,North,FMCG_Groceries,Android_v12,COD,NONE,In_Stock,1500,12
2026-08-03,560001,South,FMCG_Groceries,iOS_v16.6,UPI,SAVE10,In_Stock,2000,16
2026-08-04,700001,East,FMCG_Groceries,Web,Wallet,WELCOME20,In_Stock,2500,20
2026-08-05,400001,West,FMCG_Groceries,Android_v13,Card,FESTIVE15,In_Stock,3000,24
2026-08-06,110001,North,FMCG_Groceries,iOS_v17.2,NetBanking,NONE,In_Stock,1000,8
2026-08-07,560103,South,FMCG_Groceries,Android_v12,COD,SAVE10,In_Stock,1500,12
2026-08-08,700001,East,FMCG_Groceries,iOS_v16.6,UPI,WELCOME20,In_Stock,2000,16
2026-08-09,400001,West,FMCG_Groceries,Web,Wallet,FESTIVE15,In_Stock,2500,20
2026-08-10,110001,North,FMCG_Groceries,Android_v13,Card,NONE,In_Stock,3000,24
2026-08-01,500001,South,FMCG_Groceries,iOS_v17.2,NetBanking,SAVE10,In_Stock,1000,8
2026-08-02,700001,East,FMCG_Groceries,Android_v12,COD,WELCOME20,In_Stock,1500,12
2026-08-03,400001,West,FMCG_Groceries,iOS_v16.6,UPI,FESTIVE15,In_Stock,2000,16
2026-08-04,110001,North,FMCG_Groceries,Web,Wallet,NONE,In_Stock,2500,20
2026-08-05,560102,South,FMCG_Groceries,Android_v13,Card,SAVE10,In_Stock,3000,24
2026-08-06,700001,East,FMCG_Groceries,iOS_v17.2,NetBanking,WELCOME20,In_Stock,1000,8
2026-08-07,400001,West,FMCG_Groceries,Android_v12,COD,FESTIVE15,In_Stock,1500,12
2026-08-08,110001,North,FMCG_Groceries,iOS_v16.6,UPI,NONE,In_Stock,2000,16
2026-08-09,600001,South,FMCG_Groceries,Web,Wallet,SAVE10,In_Stock,2500,20
2026-08-10,700001,East,FMCG_Groceries,Android_v13,Card,WELCOME20,In_Stock,3000,24
2026-08-01,400001,West,FMCG_Groceries,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1000,8
2026-08-02,110001,North,FMCG_Groceries,Android_v12,COD,NONE,In_Stock,1500,12
2026-08-03,560001,South,FMCG_Groceries,iOS_v16.6,UPI,SAVE10,In_Stock,2000,16
2026-08-04,700001,East,FMCG_Groceries,Web,Wallet,WELCOME20,In_Stock,2500,20
2026-08-05,400001,West,FMCG_Groceries,Android_v13,Card,FESTIVE15,In_Stock,3000,24
2026-08-06,110001,North,FMCG_Groceries,iOS_v17.2,NetBanking,NONE,In_Stock,1000,8
2026-08-07,560103,South,FMCG_Groceries,Android_v12,COD,SAVE10,In_Stock,1500,12
2026-08-08,700001,East,FMCG_Groceries,iOS_v16.6,UPI,WELCOME20,In_Stock,2000,16
2026-08-09,400001,West,FMCG_Groceries,Web,Wallet,FESTIVE15,In_Stock,2500,20
2026-08-10,110001,North,FMCG_Groceries,Android_v13,Card,NONE,In_Stock,3000,24
2026-08-01,500001,South,FMCG_Groceries,iOS_v17.2,NetBanking,SAVE10,In_Stock,1000,8
2026-08-02,700001,East,FMCG_Groceries,Android_v12,COD,WELCOME20,In_Stock,1500,12
2026-08-03,400001,West,FMCG_Groceries,iOS_v16.6,UPI,FESTIVE15,In_Stock,2000,16
2026-08-04,110001,North,FMCG_Groceries,Web,Wallet,NONE,In_Stock,2500,20
2026-08-05,560102,South,FMCG_Groceries,Android_v13,Card,SAVE10,In_Stock,3000,24
2026-08-06,700001,East,FMCG_Groceries,iOS_v17.2,NetBanking,WELCOME20,In_Stock,1000,8
2026-08-07,400001,West,FMCG_Groceries,Android_v12,COD,FESTIVE15,In_Stock,1500,12
2026-08-08,110001,North,FMCG_Groceries,iOS_v16.6,UPI,NONE,In_Stock,2000,16
2026-08-09,600001,South,FMCG_Groceries,Web,Wallet,SAVE10,In_Stock,2500,20
2026-08-10,700001,East,FMCG_Groceries,Android_v13,Card,WELCOME20,In_Stock,3000,24
2026-08-01,400001,West,FMCG_Groceries,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1000,8
2026-08-02,110001,North,FMCG_Groceries,Android_v12,COD,NONE,In_Stock,1500,12
2026-08-03,560001,South,FMCG_Groceries,iOS_v16.6,UPI,SAVE10,In_Stock,2000,16
2026-08-04,700001,East,FMCG_Groceries,Web,Wallet,WELCOME20,In_Stock,2500,20
2026-08-05,400001,West,FMCG_Groceries,Android_v13,Card,FESTIVE15,In_Stock,3000,24
2026-08-06,110001,North,FMCG_Groceries,iOS_v17.2,NetBanking,NONE,In_Stock,1000,8
2026-08-07,560103,South,FMCG_Groceries,Android_v12,COD,SAVE10,In_Stock,1500,12
2026-08-08,700001,East,FMCG_Groceries,iOS_v16.6,UPI,WELCOME20,In_Stock,2000,16
2026-08-09,400001,West,FMCG_Groceries,Web,Wallet,FESTIVE15,In_Stock,2500,20
2026-08-10,110001,North,FMCG_Groceries,Android_v13,Card,NONE,In_Stock,3000,24
2026-08-01,500001,South,FMCG_Groceries,iOS_v17.2,NetBanking,SAVE10,In_Stock,1000,8
2026-08-02,700001,East,FMCG_Groceries,Android_v12,COD,WELCOME20,In_Stock,1500,12
2026-08-03,400001,West,FMCG_Groceries,iOS_v16.6,UPI,FESTIVE15,In_Stock,2000,16
2026-08-04,110001,North,FMCG_Groceries,Web,Wallet,NONE,In_Stock,2500,20
2026-08-05,560102,South,FMCG_Groceries,Android_v13,Card,SAVE10,In_Stock,3000,24
2026-08-06,700001,East,Fashion,iOS_v17.2,NetBanking,WELCOME20,In_Stock,1000,40
2026-08-07,400001,West,Mobiles,Android_v12,COD,FESTIVE15,In_Stock,1500,60
2026-08-08,110001,North,Laptops,iOS_v16.6,UPI,NONE,In_Stock,2000,80
2026-08-09,600001,South,Home Decor,Web,Wallet,SAVE10,In_Stock,2500,100
2026-08-10,700001,East,Large Appliances,Android_v13,Card,WELCOME20,In_Stock,3000,120
2026-08-01,400001,West,Fashion,iOS_v17.2,NetBanking,FESTIVE15,In_Stock,1000,40
2026-08-02,110001,North,Mobiles,Android_v12,COD,NONE,In_Stock,1500,60
2026-08-03,560001,South,Laptops,iOS_v16.6,UPI,SAVE10,In_Stock,2000,80
2026-08-04,700001,East,Home Decor,Web,Wallet,WELCOME20,In_Stock,2500,100
2026-08-05,400001,West,Large Appliances,Android_v13,Card,FESTIVE15,In_Stock,3000,120
2026-08-06,110001,North,Fashion,iOS_v17.2,NetBanking,NONE,In_Stock,1000,40
2026-08-07,560103,South,Mobiles,Android_v12,COD,SAVE10,In_Stock,1500,60
2026-08-08,700001,East,Laptops,iOS_v16.6,UPI,WELCOME20,In_Stock,2000,80
2026-08-09,400001,West,Home Decor,Web,Wallet,FESTIVE15,In_Stock,2500,100
2026-08-10,110001,North,Large Appliances,Android_v13,Card,NONE,In_Stock,3000,120
